MGI	HMD	PhenoGeno
MGI:1276535	NA	MP:0005014,MP:0001402,MP:0005154,MP:0002636,MP:0006094,MP:0000628,MP:0003402,MP:0003866,MP:0003699,MP:0001783,MP:0002100,MP:0002023,MP:0008963,MP:0009006,MP:0002696,MP:0009133,MP:0031420,MP:0008074,MP:0006319,MP:0000662,MP:0010024,MP:0005348,MP:0001698,MP:0002427,MP:0008964,MP:0003953,MP:0003179,MP:0002078,MP:0004893,MP:0008483,MP:0010179,MP:0009136,MP:0005289,MP:0005560,MP:0002083,MP:0001262,MP:0002356,MP:0001140,MP:0001780,MP:0005076,MP:0003084,MP:0005181,MP:0004701,MP:0009788,MP:0008553,MP:0008078,MP:0002702,MP:0009355,MP:0011708,MP:0005659,MP:0000691,MP:0004499,MP:0011110,MP:0000024,MP:0002727,MP:0005621,MP:0001289,MP:0008596,MP:0011630,MP:0012106,MP:0009125,MP:0010378,MP:0005150,MP:0001260,MP:0003620,MP:0005290,MP:0005013,MP:0005292,MP:0011049,MP:0008658,MP:0009289,MP:0005534,MP:0008641,MP:0002332,MP:0001431,MP:0001732,MP:0009116,MP:0008560,MP:0001938,MP:0000186,MP:0002169,MP:0005293,MP:0000352,MP:0005344,MP:0008735,MP:0000218,MP:0010400,MP:0001265,MP:0005331,MP:0001559,MP:0010025,MP:0002644,MP:0012431,MP:0004939,MP:0009341,MP:0000601,MP:0002891,MP:0005561,MP:0005179,MP:0001935,MP:0004889,MP:0008705,MP:0031268,MP:0000003,MP:0005669,MP:0002401,MP:0004702
MGI:5648126	NA	MP:0001823,MP:0004056,MP:0004110,MP:0000111,MP:0003675,MP:0010412,MP:0000703
MGI:1203524	NA	MP:0000787,MP:0001694,MP:0000783,MP:0002718,MP:0000786,MP:0000830,MP:0000914,MP:0002085,MP:0011096,MP:0013207,MP:0000823,MP:0004838,MP:0000826
MGI:2682686	NA	MP:0000585
MGI:2680533	NA	MP:0000745
MGI:2441683	NA	MP:0001566,MP:0005562,MP:0003179,MP:0005293,MP:0002169,MP:0002968,MP:0005344
MGI:2442161	NA	MP:0000266,MP:0000160,MP:0005559,MP:0005568,MP:0000274,MP:0000219,MP:0001146,MP:0002608,MP:0004174,MP:0013436,MP:0002339,MP:0003131,MP:0001147,MP:0002092,MP:0000702,MP:0010935
MGI:4829954	NA	MP:0001092,MP:0000934,MP:0000937,MP:0003720,MP:0001071
MGI:1860512	NA	MP:0002874,MP:0001304,MP:0002574,MP:0011100,MP:0002875,MP:0005642,MP:0001488,MP:0002590,MP:0013292
MGI:1914185	NA	MP:0013968,MP:0000297,MP:0000534,MP:0000681,MP:0000140,MP:0000783,MP:0013913,MP:0011100,MP:0014003,MP:0014021,MP:0001711,MP:0003686,MP:0004269,MP:0010602,MP:0002989,MP:0004613,MP:0004646,MP:0004442,MP:0020500,MP:0000153,MP:0003827,MP:0013836,MP:0013848,MP:0003345,MP:0003826,MP:0000489,MP:0000273,MP:0000161,MP:0000154,MP:0013914,MP:0010418,MP:0008803
