type	DRC150
none	0.00187666
none	0.00175343
none	0.00182355
none	0.00233458
none	0.00291525
none	0.00196485
none	0.00194726
none	0.00208665
none	0.001311
none	0.00118744
none	0.00181428
none	0.00200137
none	0.00195968
none	0.00207093
none	0.00181066
none	0.00181242
none	0.00140247
none	0.00123262
none	0.0014404
none	0.00131567
none	0.00137454
none	0.00157087
none	0.00161768
none	0.00172741
none	0.00171909
none	0.00162606
none	0.00134581
none	0.00188834
none	0.00113607
none	0.00130914
none	0.00103506
none	0.00134997
none	0.00170793
none	0.0018917
none	0.00329858
none	0.00212226
none	0.00164149
none	0.00195204
none	0.00265476
none	0.00253281
none	0.00242745
none	0.00162954
none	0.00163949
none	0.00165739
none	0.00133774
none	0.00129004
none	0.00170015
none	0.00152878
none	0.000976368
none	0.00113743
none	0.00145039
none	0.00205016
none	0.00196847
none	0.00195409
none	0.00175018
none	0.00155399
none	0.00243357
none	0.00200825
none	0.00147223
none	0.00140604
none	0.001955
none	0.00197189
none	0.001891
none	0.0017412
none	0.00173313
none	0.00197367
none	0.00136019
none	0.00130863
none	0.00179096
none	0.00184044
none	0.00170573
none	0.00225892
none	0.00150291
none	0.00201235
none	0.00270111
none	0.00212226
none	0.00182118
none	0.00172096
none	0.0016081
none	0.00131625
none	0.00127154
none	0.00153645
none	0.00139618
none	0.00180465
none	0.00367186
none	0.00217275
none	0.00208308
none	0.00178014
none	0.00103267
none	0.00172371
none	0.00156637
none	0.00208095
none	0.0017591
none	0.00192126
none	0.00157843
none	0.00164822
none	0.00266051
none	0.0026573
none	0.00218766
none	0.00204192
none	0.00283754
none	0.00214884
none	0.00226706
none	0.00109244
none	0.00214539
none	0.00234874
none	0.00323733
none	0.00280901
none	0.00180659
none	0.00135989
none	0.00174862
none	0.00175362
none	0.00169782
none	0.00123452
none	0.00161525
none	0.00162753
none	0.00183641
none	0.00152172
none	0.0015162
none	0.00265945
none	0.00218225
none	0.00221975
none	0.00156274
none	0.00197652
none	0.00178415
none	0.00296334
none	0.00219279
none	0.00158988
none	0.00192411
none	0.00184167
none	0.00202275
none	0.00233779
none	0.00273478
